"Activities" "ID" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"LAYING" 11 0.26564174 -0.016127576 -0.10896974 -0.33328414 0.54127533 0.83763841 0.043814402 -0.031937798 0.022883804 -0.038222177 -0.03105555 0.04461331 -0.1134134 -0.036551337 -0.04299975 -0.9456936 -0.9456936 -0.97539653 -0.96163051 -0.97685939 -0.95340772 -0.93761471 -0.95387469 -0.32908158 -0.035578004 0.11369332 -0.97570834 -0.97730702 -0.95990544 0.13904069 -0.24842406 -0.15974213 -0.96505566 -0.95286968 -0.97552017 0.17777981 0.054710655 -0.036733747 -0.95629002 0.017913137 -0.95314627 0.1531894 -0.94560613 0.049325971 -0.9534069 -0.37683793 -0.95238228 -0.93138008 -0.94231254 -0.95857415 -0.97337685 -0.97118898 -0.97447902 -0.97818796 -0.9594817 -0.97741537 -0.95782036 -0.97884439 -0.97147111 -0.95715071 -0.98563026 -0.9480959 -0.9480959 -0.95309894 -0.94654393 -0.94613554 -0.95177685 -0.93145078 -0.93949 -0.97533888 -0.98097163 -0.95735677 -0.98167373 -0.96143679 -0.98191816 -0.95053535 -0.95164028 -0.95653924 -0.94079199
"LAYING" 12 0.28121902 -0.016893034 -0.10577043 -0.39000556 0.96118265 -0.22360423 0.077464489 0.010224959 -0.0054962315 -0.02747631 -0.072211226 0.092986241 -0.095596222 -0.038843526 -0.059042854 -0.99279074 -0.99279074 -0.99110639 -0.99195874 -0.99175949 -0.99098725 -0.99077015 -0.99003223 -0.057519751 0.23817405 0.079982052 -0.98891098 -0.99019121 -0.99156977 0.30238199 0.038017365 0.15518868 -0.98934471 -0.99040578 -0.98971949 0.087747506 0.24736335 0.31774649 -0.99149521 0.36346457 -0.99558673 0.14211419 -0.99006133 0.2877632 -0.99177487 0.094038879 -0.9928368 -0.99283629 -0.98562903 -0.99547566 -0.99837489 -0.98686343 -0.98947554 -0.98974639 -0.99245258 -0.99241505 -0.99143483 -0.99227006 -0.99127497 -0.99038194 -0.99142385 -0.9927824 -0.9927824 -0.99495213 -0.99101578 -0.99176308 -0.99369525 -0.99343982 -0.98317654 -0.99115376 -0.98987494 -0.99176351 -0.99338447 -0.99213738 -0.99402155 -0.99402106 -0.9924962 -0.99334961 -0.99191288
"LAYING" 13 0.26792103 -0.012901151 -0.13099221 -0.14585358 0.93116122 0.21430609 0.078600928 0.021257337 0.0096557061 -0.030159108 -0.081945396 0.092841277 -0.094732161 -0.03546375 -0.049535353 -0.96965944 -0.96965944 -0.97318136 -0.97549347 -0.97457259 -0.97739837 -0.95955663 -0.97466883 -0.24869074 0.3320513 0.02970377 -0.97722782 -0.95529395 -0.98353933 -0.0011063903 -0.076545576 0.16724371 -0.96951074 -0.96996 -0.98021153 0.087509868 0.1412478 0.51103966 -0.97340742 0.10595821 -0.9762238 0.20738514 -0.97417183 0.33220861 -0.97722775 0.22835601 -0.98044475 -0.96459354 -0.96177057 -0.97879616 -0.98964279 -0.94627493 -0.97691866 -0.95079354 -0.98636167 -0.97886524 -0.97311701 -0.98627694 -0.97078111 -0.97286703 -0.97870508 -0.96469694 -0.96469694 -0.9722217 -0.97448258 -0.974411 -0.98171487 -0.9687648 -0.956929 -0.97862471 -0.94889559 -0.98786523 -0.98192788 -0.97539983 -0.99025079 -0.96435434 -0.96565291 -0.97903337 -0.97226261
"LAYING" 14 0.29952686 -0.017831938 -0.11090993 -0.061247552 0.46063926 0.83846058 0.075296674 0.0034985633 0.0046670437 -0.026472913 -0.08399568 0.087301673 -0.097746305 -0.046541619 -0.048484808 -0.96419274 -0.96419274 -0.97289801 -0.95723728 -0.97157566 -0.96632701 -0.97126386 -0.94225336 -0.45271454 -0.11039078 -0.0097464178 -0.96947577 -0.97734943 -0.95222385 -0.31433959 -0.1755023 -0.2605444 -0.9283712 -0.93264906 -0.97870549 -0.35652084 -0.22738235 0.11455307 -0.93735263 -0.02462327 -0.947452 -0.26076359 -0.91392889 -0.26132861 -0.93699824 -0.38542888 -0.96465787 -0.96537789 -0.93894853 -0.97195924 -0.99302489 -0.98232859 -0.96505916 -0.97658548 -0.9570706 -0.9464968 -0.93535255 -0.98216301 -0.94281443 -0.95131406 -0.98397745 -0.93941123 -0.93941123 -0.94361765 -0.90021252 -0.92988904 -0.96380008 -0.96355173 -0.94094449 -0.96343523 -0.97726139 -0.96037178 -0.95224757 -0.93746249 -0.9850338 -0.94897023 -0.93708362 -0.90781155 -0.92567747
"LAYING" 15 0.27582416 -0.017597496 -0.10793029 -0.14300802 0.88248093 -0.3715907 0.077003606 0.014613673 -0.00032516361 -0.039031708 -0.08848051 0.073691524 -0.095672317 -0.037505319 -0.053127037 -0.99617202 -0.99617202 -0.99219079 -0.98788637 -0.99819725 -0.99699553 -0.99038959 -0.98811006 -0.077221041 0.40963909 0.2717676 -0.99656981 -0.98891535 -0.98767314 0.18738836 0.073041832 0.07908809 -0.99409288 -0.99720286 -0.99671964 -0.054795219 0.2479077 0.33493107 -0.99182465 0.5713509 -0.9928201 0.33286704 -0.99531482 0.025342175 -0.99878956 0.42622756 -0.99759013 -0.99261107 -0.98805778 -0.99824747 -0.99913094 -0.99622667 -0.99673123 -0.98756997 -0.98954436 -0.99432881 -0.99770051 -0.99763179 -0.99708689 -0.99813248 -0.99657056 -0.99325093 -0.99325093 -0.99348004 -0.9936596 -0.99905755 -0.99785733 -0.99333248 -0.98806508 -0.99723273 -0.98673833 -0.98996352 -0.99433611 -0.99802633 -0.99823993 -0.99453608 -0.99315155 -0.99334603 -0.99927132
"LAYING" 16 0.29232758 -0.020606629 -0.11549711 -0.37204619 -0.46172152 0.9117183 0.079905639 -0.00051300119 -0.0026873721 -0.029852924 -0.082233068 0.090867238 -0.094528304 -0.039022085 -0.057301151 -0.97243229 -0.97243229 -0.99356071 -0.98268885 -0.99407676 -0.98464688 -0.98127208 -0.98980259 -0.75758288 -0.13371503 0.045157887 -0.99270402 -0.99279814 -0.99229995 -0.10379966 -0.11352995 0.077556394 -0.98737809 -0.98463885 -0.99521234 -0.082771844 -0.49094135 0.14695967 -0.98398395 -0.33594563 -0.99527886 0.44889331 -0.98464966 -0.2813982 -0.99323406 0.47150167 -0.96946641 -0.96880933 -0.98265671 -0.9723866 -0.98681137 -0.98873955 -0.99217792 -0.99278989 -0.99332229 -0.9879881 -0.97633776 -0.99547033 -0.99155735 -0.99278149 -0.99662931 -0.97293652 -0.97293652 -0.99604238 -0.9801458 -0.99389695 -0.96455924 -0.96423785 -0.97903146 -0.99222055 -0.99328536 -0.99281201 -0.98815047 -0.97227989 -0.99588721 -0.97038323 -0.99605459 -0.98030009 -0.99502714
"LAYING" 17 0.26226494 -0.0025509553 -0.12338225 -0.21662567 0.55948293 0.82684505 0.081263638 -0.018733894 0.027125605 -0.035161393 -0.068129897 0.087949307 -0.10984329 -0.039488457 -0.048036293 -0.9630647 -0.9630647 -0.99035573 -0.9842742 -0.99488658 -0.98884159 -0.95932031 -0.97313861 -0.059278798 -0.13973167 0.13924541 -0.98966054 -0.98971012 -0.98856337 0.26274423 -0.020407522 0.28420994 -0.98125458 -0.99515085 -0.99101357 0.071637878 0.26401404 0.014918039 -0.98466648 -0.20775387 -0.9904219 0.48544657 -0.9923669 -0.082476209 -0.99565619 0.35974478 -0.98866443 -0.94098568 -0.96525934 -0.98033026 -0.94537795 -0.9526071 -0.98913377 -0.98956245 -0.98980899 -0.98224134 -0.99552635 -0.98962226 -0.99104002 -0.99506322 -0.99625324 -0.96806241 -0.96806241 -0.99141012 -0.98801988 -0.99575132 -0.98842814 -0.93545555 -0.96256145 -0.98945587 -0.99009948 -0.98949576 -0.98256013 -0.99573992 -0.98991824 -0.96415038 -0.99134493 -0.98705353 -0.9957753
"LAYING" 18 0.27591272 -0.016736872 -0.10893456 -0.25929513 0.91786451 0.37309292 0.073822983 0.018336329 -0.00061697133 -0.027124821 -0.076825702 0.083035235 -0.097711052 -0.042549951 -0.055385082 -0.99559098 -0.99559098 -0.99247196 -0.99712067 -0.99687503 -0.99374915 -0.98794192 -0.99403775 0.090602523 0.4340383 0.27776725 -0.99118794 -0.9879251 -0.99334259 0.26572135 0.079930813 0.21800719 -0.99866743 -0.99482835 -0.99636073 0.43071563 0.17544027 0.26009359 -0.99497814 0.55316673 -0.99404604 0.68665571 -0.99656861 0.58334557 -0.99682836 0.25700412 -0.99515882 -0.9909091 -0.99209376 -0.9983413 -0.99735693 -0.99396294 -0.99120884 -0.98786959 -0.99471847 -0.99919504 -0.99468795 -0.99659672 -0.99852127 -0.99494678 -0.99683574 -0.99640072 -0.99640072 -0.99553675 -0.99676731 -0.99687495 -0.99583513 -0.99224059 -0.99053161 -0.99201264 -0.98865442 -0.99466854 -0.99938744 -0.99454251 -0.99691941 -0.99743294 -0.9970298 -0.99739032 -0.99678687
"LAYING" 19 0.29055648 -0.015469045 -0.11495613 -0.20953687 0.53048585 0.84656975 0.074538733 0.0088182448 0.012255389 -0.027449549 -0.077515553 0.085799978 -0.099319358 -0.040669626 -0.059249824 -0.97982314 -0.97982314 -0.98558242 -0.98324016 -0.99281825 -0.9809929 -0.98882507 -0.98528303 -0.22033517 0.25817788 0.31460581 -0.97981769 -0.98854214 -0.98841024 0.37521855 -0.088236892 0.10905198 -0.99467779 -0.98379913 -0.98976657 -0.10291162 -0.30330816 0.43184305 -0.978385 0.1107624 -0.98271019 0.39381839 -0.9879655 0.16307176 -0.98898741 0.50566755 -0.97488895 -0.99123498 -0.97841308 -0.98220451 -0.99707438 -0.9867733 -0.97931242 -0.98698352 -0.98910747 -0.99331853 -0.97705949 -0.99003383 -0.99652954 -0.9892451 -0.99159267 -0.97668379 -0.97668379 -0.98503713 -0.98731347 -0.98999993 -0.97245885 -0.99215953 -0.97523397 -0.98056237 -0.98594258 -0.98817154 -0.99292066 -0.97363494 -0.99090338 -0.97813259 -0.98755942 -0.98883905 -0.99182375
"LAYING" 20 0.27527033 -0.017997843 -0.10672955 -0.92230547 0.69226439 0.69339254 0.079199904 0.0074892854 -0.0037012658 -0.028307142 -0.0664195 0.087148196 -0.095936248 -0.06043415 -0.04942925 -0.97502461 -0.97502461 -0.98374669 -0.9729753 -0.98719073 -0.97561125 -0.97559126 -0.98977799 -0.4578827 0.54864424 0.50872696 -0.97994714 -0.97047888 -0.98701118 0.15651566 0.30859158 0.3085254 -0.98510668 -0.96791391 -0.98227662 0.30601019 -0.076343698 -0.06904075 -0.97823896 0.20411821 -0.97808696 0.16530732 -0.97808953 0.076015352 -0.98588689 0.038285904 -0.96570155 -0.98130448 -0.99243943 -0.97996493 -0.99526311 -0.99785005 -0.98116791 -0.97151289 -0.98940708 -0.99084379 -0.96271935 -0.9824853 -0.98306239 -0.98569877 -0.99007996 -0.97669085 -0.97669085 -0.97914401 -0.9749369 -0.98589371 -0.96205003 -0.98510156 -0.99421074 -0.98446744 -0.97498998 -0.99047179 -0.99290515 -0.95993276 -0.98399961 -0.97822371 -0.97918996 -0.97679807 -0.98644963
